ydata,gpf,re,,,
-2.461508914,0.00812832,3.007064579,,,
-2.374976874,0.015853842,2.790970079,,,
-1.958709218,0.032037253,2.236037333,,,
-2.77003333,0.010981197,3.112940612,,,
-2.431545192,0.00694376,2.87943267,,,
-1.71984655,0.026776119,1.717261977,,,
-2.159770385,0.020115028,2.726408707,,,
-1.731321143,0.008625205,2.479391466,,,
-1.909331387,0.004190566,2.430466428,,,
-1.773337341,0.01047665,2.262650127,,,
-1.802550169,0.006363357,2.099060241,,,
-1.90620118,0.007746215,2.208937844,,,
-1.553799232,0.016727514,1.973965636,,,
-1.679240271,0.010865529,2.427396642,,,
-1.898034228,0.007075852,2.37778701,,,
-1.714394582,0.003816875,2.524275697,,,
-2.596138192,0.014957981,2.613850765,,,
-1.816999576,0.019723205,2.576834542,,,
-2.12537113,0.041857779,2.311508527,,,
-2.389286495,0.018153293,2.725240136,,,
-2.196548502,0.011499839,2.442276271,,,
-1.950597993,0.021032559,2.313760672,,,
-1.948968392,0.016679883,2.600970358,,,
-1.804876418,0.02521172,2.036377715,,,
-1.484423009,0.031544662,1.216255593,,,
-1.612635315,0.080060503,1.400109796,,,
-2.202252497,0.083403096,1.522307393,,,
-2.199650115,0.139645734,1.704792771,,,
-2.415068245,0.051401115,2.393764108,,,
-3.105289289,0.102605494,2.503937344,,,
-2.585758939,0.07076686,1.771240648,,,
-3.425120211,0.05562543,4.054359574,,,
-2.615923812,0.163683727,1.959359279,,,
-2.235723322,0.115922673,1.366873668,,,
-2.004487822,0.103203131,1.731685474,,,
-2.496014517,0.020338074,2.144141754,,,
-1.826089756,0.130193828,1.33385692,,,
-1.731611971,0.07568792,1.438012256,,,
-1.2276124,0.099772116,0.607800825,,,
-1.201152882,0.044314328,0.890150489,,,
-1.466318917,0.140155049,0,,,
-1.772296858,0.087193447,1.018789111,,,
-2.282725271,0.031882981,1.76281364,,,
-2.251148769,0.060833007,0.574367187,,,
-1.903536134,0.049530914,1.183563065,,,
-1.901454287,2.147173816,1.134790431,,,
-1.419626143,4.912301997,0.514071901,,,
-2.111118974,0.00562971,2.735893366,,,
-1.669598544,0.944942244,1.061705211,,,
-2.251723716,0.024053311,2.347253879,,,
-2.11984877,0.0173304,2.132415196,,,
-2.060956241,0.022699647,1.89962648,,,
-1.253651754,0.04054956,1.026496609,,,
-1.547484945,0.008361362,1.999652923,,,
-1.890446808,0.03472574,1.719772164,,,
-2.396801961,0.016963619,2.250718937,,,
-2.300282793,0.040740153,1.996115975,,,
-2.25576238,0.032793372,1.819591646,,,
-2.744428811,0.093789455,1.689408916,,,
-2.599990833,0.01017308,2.910770411,,,
-2.54974433,0.043386078,2.108792835,,,
-2.021282874,0.036833254,2.467268369,,,
-2.115283948,0.025016886,2.402238212,,,
-1.37299868,0.06100466,1.370187166,,,
-2.667236636,0.049179759,1.284952081,,,
-2.969150787,0.017079216,2.783325497,,,
-1.522491758,0.02570098,1.557059405,,,
-2.148049908,0.0456176,1.345700061,,,
-1.648837239,0.052934195,1.074045375,,,
-2.228741409,0.017813551,2.096517289,,,
-1.540790735,0.021346975,1.767969084,,,
-1.786430129,0.073750289,1.217108987,,,
-1.769303822,0.0112059,2.072482395,,,
-2.359445541,0.0255592,2.161163928,,,
-1.889863934,0.001022693,2.321704266,,,
-2.622124029,0.001011497,2.926948963,,,
-3.234762844,0.033267989,3.42241569,,,
-2.217259373,0.017565417,2.207160094,,,
-2.571206949,0.017565417,2.207160094,,,
-3.872855228,0.080060503,2.641415391,,,
-1.383331335,3.79E-31,3.291044544,,,
-2.25576238,0.245704513,2.926827624,,,
-4.034553535,0.087193447,3.899677815,,,
-4.681145031,0.017565417,5.09348979,,,
-4.2460908,0.561873692,3.858177108,,,
-3.522804804,0.074819492,0,,,
-2.696759325,0.044923829,2.402238212,,,
-4.373691779,2.26E-30,2.89083899,,,
-2.54974433,1.02E-30,3.065257151,,,
-4.437088397,0.601313405,0,,,
-1.945552553,0.006602373,1.018789111,,,
-4.011104645,0.083403096,0,,,
-3.913951929,0.130193828,4.694693888,,,
-3.996205613,0.049179759,1.973965636,,,
-3.913951929,0.02123436,2.149841772,,,
-2.202252497,0.023775281,0.607800825,,,
-2.230786601,0.043386078,2.725240136,,,
-2.389286495,3.79E-31,4.694693888,,,
-2.465569018,0.016963619,2.207160094,,,
-1.889863934,0.004492549,4.026291212,,,
-3.1033033,0.837059156,3.95059632,,,
-4.437088397,0.044923829,2.311508527,,,
-1.890446808,6.79E-31,2.294481563,,,
-2.597743353,0.023921126,1.074045375,,,
-3.222547233,0.017565417,1.400109796,,,
-3.04947012,0.004844746,4.088704308,,,
-5.499835693,0.00694376,4.417751953,,,
-3.443269603,0.002850792,3.30485287,,,
-2.510983515,0.017079216,2.132415196,,,
-1.862218198,0.026776119,2.212272537,,,
-2.95320786,0.10130881,3.262621598,,,
-1.773337341,0.10130881,2.442276271,,,
-1.871861538,0.064918997,1.689408916,,,
-2.321786175,0.041857779,3.262621598,,,
-1.37299868,5.13E-31,2.262650127,,,
-4.337905618,1.02E-30,3.827590955,,,
-2.500543399,1.211881032,3.017287724,,,
-3.994023988,0.007746215,2.405636325,,,
-2.361194145,0.017565417,1.134790431,,,
-1.882198265,0.139645734,1.717261977,,,
-3.784910993,0.245704513,2.926948963,,,
-3.105289289,0.015853842,2.405636325,,,
-2.528149425,0.144946069,2.602807356,,,
-2.354452889,0.074819492,2.641415391,,,
-1.731611971,0.07568792,1.811149575,,,
-5.499835693,0.009809272,4.566580178,,,
-3.956004871,0.003816875,1.33385692,,,
-4.011005754,1.220802404,3.800615506,,,
-4.105609064,5.18E-31,3.95059632,,,
-4.465989103,0.012795254,2.87997561,,,
-2.366010361,0.033267989,2.321704266,,,
-2.541696949,0.033056621,0,,,
-1.916340642,0.028647342,3.377019831,,,
-2.461508914,0.00659469,2.096517289,,,
-2.610162132,5.13E-31,4.488926733,,,
-2.196548502,0.045080036,1.671213054,,,
-3.253364943,0.354549877,1.979641564,,,
-1.509186031,5.18E-31,2.929656859,,,
-3.324378128,0.014957981,3.30485287,,,
-3.516172274,0.067231176,2.20013318,,,
-2.969150787,5.13E-31,3.285472311,,,
-3.443269603,0.046463007,2.20013318,,,
-2.496014517,0.139645734,5.309014796,,,
-2.172325321,0.001233641,3.320003386,,,
-3.395695313,0.002200989,2.664162328,,,
-2.395828163,0.012854046,2.402238212,,,
-2.051782156,0.001022693,3.147038828,,,
-3.655274755,0.124652863,5.284881321,,,
-1.522491758,0.081209541,1.061705211,,,
-2.597743353,0.087193447,3.463444602,,,
-4.644343327,0.035067892,2.108792835,,,
-3.334805211,0.002445641,2.036377715,,,
-4.131464589,0.006363357,3.290101425,,,
-4.722283463,0.006602373,3.646571988,,,
-2.452887609,0.019723205,2.512006004,,,
-1.2276124,0.017079216,2.484868921,,,
-3.395695313,1.073313797,2.830503055,,,
-2.337510409,0.041632993,2.132415196,,,
-2.251723716,0.020338074,0,,,
-1.916340642,0.980838084,2.096517289,,,
-4.256116773,1.211881032,3.736542109,,,
-1.804876418,0.010981197,0,,,
-2.431545192,0.144946069,4.555072479,,,
-1.789090272,0.003286145,1.284952081,,,
-4.105609064,0.019723205,3.770178932,,,
-3.928081971,0.070114307,3.453662657,,,
-2.262210416,0.001665728,4.755111357,,,
-3.207348762,0.032793372,5.301824839,,,
-4.180959707,0.026776119,0.565620606,,,
-3.777300168,0.016963619,2.641415391,,,
-2.366010361,0.021616649,2.613850765,,,
-2.304500021,0.049614626,1.205376676,,,
-2.431545192,6.91E-04,2.446191813,,,
-2.456313615,0.05634038,2.193638179,,,
-2.541696949,0.06100466,2.484868921,,,
-2.77003333,8.37E-31,3.119461258,,,
-1.540790735,0.060869554,1.999652923,,,
-4.14877474,0.754901795,4.757267929,,,
-1.484423009,0.063383795,1.412779211,,,
-4.590336192,1.068990494,2.926827624,,,
-2.638809922,6.94E-31,3.189077741,,,
-2.337510409,0.01047665,4.569217833,,,
-4.458533556,0.008361362,2.236037333,,,
-2.359445541,0.008361362,0,,,
-2.282725271,2.54E-31,4.693650498,,,
-3.947992786,0.064805709,4.333789218,,,
-2.071591532,0.007075852,2.907743307,,,
-2.389286495,0.018235755,2.096517289,,,
-2.873451471,0.003947693,5.488943014,,,
-4.633217046,0.041308681,3.586884005,,,
-4.681145031,0.005597704,2.364556531,,,
-1.246131034,0.064805709,2.321704266,,,
-1.676913415,0.029797007,0,,,
-3.702546797,0.045080036,3.285472311,,,
-4.128440007,0.04570507,6.305869854,,,
-4.157173398,5.32E-31,4.306686673,,,
-1.602146661,0.001015068,5.298508919,,,
-4.409552099,1.40E-30,1.522307393,,,
-4.128440007,1.211881032,2.910770411,,,
-4.681145031,0.017934033,2.888655957,,,
-1.553799232,0.019723205,1.767969084,,,
-4.055698548,2.147173816,3.334810885,,,
-2.051782156,0.011602559,3.00837608,,,
-1.903536134,0.014321714,5.362842622,,,
-4.527593966,0.032789373,3.065257151,,,
-4.458533556,4.85E-31,2.347253879,,,
-4.13248438,0.001665728,6.022786851,,,
-1.234140645,0.017358517,0,,,
-1.9736922,0.041179422,4.306686673,,,
-3.777300168,0.017565417,3.329452535,,,
-3.358281353,0.054800884,2.036377715,,,
-2.465569018,0.070114307,2.789096265,,,
-4.531801593,0.754901795,3.065257151,,,
-3.207348762,0.789454258,1.731685474,,,
-5.504985757,4.54E-31,3.630214792,,,
-3.40914989,0.044314328,4.631223238,,,
-4.680279136,1.19E-30,4.306143599,,,
-1.390498593,0.041039094,2.350405417,,,
-1.201152882,6.91E-04,3.124861404,,,
-1.669598544,0.018377859,2.790970079,,,
-4.465989103,0.081308065,2.149841772,,,
-2.947009961,0.083403096,1.967932931,,,
-3.334805211,1.44246466,4.488926733,,,
-3.706635053,0.007075852,3.219663841,,,
-3.95885058,0.041857779,2.099060241,,,
-3.222547233,0.009809272,2.893454156,,,
-1.471598359,0.020143016,3.999036853,,,
-1.916340642,0.016129258,2.893454156,,,
-3.713449902,0.060869554,3.586884005,,,
-3.234762844,0.922352589,0.574367187,,,
-4.46628837,0.00659469,1.33385692,,,
-1.909331387,0.054800884,0,,,
-4.13792496,0.008963612,2.673839627,,,
-2.707994382,0.049179759,5.09348979,,,
-1.714394582,0.187322583,5.488943014,,,
-3.395695313,0.067231176,2.87997561,,,
-2.729495335,0.008625205,1.687500353,,,
-4.14877474,0.032255585,3.780350871,,,
-2.496014517,0.004844746,3.513586076,,,
-4.344871259,0.051957697,3.00837608,,,
-2.791821078,0.025952215,1.915625833,,,
-4.105942048,0.014813357,3.464740921,,,
-2.37429471,5.25E-31,3.42241569,,,
-4.784189127,0.063383795,2.558007934,,,
-2.431545192,0.005597704,2.096517289,,,
-1.956154862,1.220802404,5.09348979,,,
-4.128440007,5.49E-31,1.366873668,,,
-3.164915324,0.001022693,2.036377715,,,
-2.251723716,0.01080845,0,,,
-1.802550169,0.003500487,4.054359574,,,
-3.361288628,0.016727514,2.448632926,,,
-2.067150665,0.03144578,3.746424609,,,
-3.04947012,0.010802768,3.770178932,,,
-1.899608512,0.024030487,2.830503055,,,
-1.909331387,0.016963619,2.193638179,,,
-2.707994382,0.016679883,1.973965636,,,
-2.321786175,0.012776859,3.664998703,,,
-4.026356479,0.002756241,3.066706037,,,
-3.412125752,0.003286145,1.6891212,,,
-1.772296858,0.002445641,2.524275697,,,
-2.202252497,1.06E-30,3.033224709,,,
-4.437088397,0.020440825,3.144132243,,,
-3.1033033,0.008274624,1.412779211,,,
-5.63659917,0.082752638,3.59100707,,,
-4.128440007,0.070113791,5.284881321,,,
-1.863841208,0.017934033,4.631223238,,,
-4.180959707,0.038475504,6.022786851,,,
-3.412472409,0.037274,0,,,
-4.055698548,8.37E-31,2.347980353,,,
-4.644343327,0.001688174,1.345700061,,,
-2.12537113,0.045080036,0,,,
-5.098572873,0.012593209,2.735893366,,,
-2.696574889,0.201507767,2.161163928,,,
-4.154014638,0.043736817,1.967932931,,,
-3.203085843,0.006363357,2.108792835,,,
-3.749619134,0.00659469,3.033224709,,,
-3.95885058,0.0112059,2.208937844,,,
-4.145588571,2.54E-31,1.366873668,,,
-2.431545192,0.002720005,2.593135432,,,
-3.098169063,0.10130881,1.074045375,,,
-2.812321145,0.026264629,0.590970292,,,
-4.531801593,0.017079216,4.751610527,,,
-1.37299868,0.620430639,0.565620606,,,
-4.390440443,2.54E-31,5.284881321,,,
-1.731321143,0.070114307,4.088704308,,,
-2.354452889,5.13E-31,1.345700061,,,
-1.871861538,0.060833007,2.250718937,,,
-4.145588571,0.081209541,2.664162328,,,
-3.456933065,0.009459071,2.347980353,,,
-5.499835693,0.002850792,2.313760672,,,
-2.621536117,0.020338074,3.858177108,,,
-2.95320786,0.016318727,0.607800825,,,
-3.506372893,0.005948315,3.921950801,,,
-2.599990833,0.01306522,3.291044544,,,
-2.412503691,0.007613102,4.054359574,,,
-4.329133834,0.017934033,4.555072479,,,
-2.199650115,0.030036947,0,,,
-2.696759325,0.00659469,3.290101425,,,
-4.034553535,6.94E-31,5.390676293,,,
-2.707994382,0.017193652,3.22547135,,,
-3.234762844,0.036737536,3.736542109,,,
-2.148049908,0.00460104,3.181474869,,,
-1.234140645,0.10130881,3.290101425,,,
-1.901454287,0.047235453,0,,,
-1.769303822,0.008360276,2.664162328,,,
-3.749619134,0.115922673,1.438012256,,,
-3.655274755,0.014321714,4.306686673,,,
-4.285188665,0.041632993,2.735893366,,,
-2.148049908,0.001553311,1.965059802,,,
-5.438319155,0.015658396,4.488926733,,,
-4.784189127,0.080060503,0,,,
-4.13248438,0.047235453,2.954896314,,,
-4.527593966,0.105006981,2.311508527,,,
-2.230786601,0.031544662,2.722355995,,,
-3.259452033,0.021346975,1.704792771,,,
-2.388048786,0.944942244,3.031923822,,,
-1.829338486,0.008274624,1.972394868,,,
-2.77003333,0.032793372,2.503937344,,,
-3.947992786,0.079907041,2.926827624,,,
-2.423004265,0.001345941,2.662655859,,,
-3.40914989,0.017934033,1.400109796,,,
-4.391958774,0.05562543,5.390676293,,,
-1.956154862,0.030229246,3.22547135,,,
-4.055698548,0.073750289,1.819591646,,,
-3.996205613,0.006602373,1.217108987,,,
-1.383331335,0.035067892,4.693650498,,,
-2.196548502,0.005948315,2.419652566,,,
-2.431545192,1.06E-30,3.219663841,,,
-3.600508992,1.44246466,3.008765292,,,
-4.653877368,0.013801734,1.134790431,,,
-2.321786175,0.015658396,1.557059405,,,
-5.098572873,9.57E-31,2.148700464,,,
-4.645515484,0.0173304,0.838950177,,,
-1.201152882,0.083403096,4.693650498,,,
-2.067150665,0.006363357,0,,,
-2.021282874,0.001233641,2.907743307,,,
-2.432110134,0.030036947,3.938361379,,,
-1.898034228,0.354549877,3.406331095,,,
-2.464589375,0.003947693,2.442276271,,,
-1.958709218,0.064918997,2.850012641,,,
-2.541696949,0.029797007,2.393764108,,,
-5.504985757,0.074819492,2.148700464,,,
-3.947992786,8.59E-31,1.719772164,,,
-4.106128684,0.011673041,2.442276271,,,
-1.882198265,0.006303843,1.89962648,,,
-4.2460908,0.01306522,2.274715265,,,
-4.644343327,0.102605494,4.07572363,,,
-3.412472409,0.002850792,2.031081894,,,
-3.947992786,0.031756674,2.193638179,,,
-3.222547233,0.05634038,2.347253879,,,
-2.172325321,0.130193828,4.751610527,,,
-2.667236636,0.015853842,2.954896314,,,
-2.622124029,0.017358517,4.784338808,,,
-2.927430152,0.021346975,2.446191813,,,
-2.739756175,0.021346975,2.321704266,,,
-4.157173398,0.04054956,4.917668642,,,
-4.157173398,0.034390784,1.687500353,,,
-2.707994382,1.220802404,2.099060241,,,
-1.253651754,0.0173304,2.207160094,,,
-2.781546844,0.002200989,0.565620606,,,
-5.267584736,0.003947693,1.972394868,,,
-3.527277627,5.13E-31,4.482876851,,,
-4.645515484,0.043386078,2.783325497,,,
-3.513934087,0.016367127,2.926827624,,,
-4.060587948,0.187322583,2.289457773,,,
-3.522804804,0.060833007,4.755111357,,,
-3.164915324,0.810549314,2.031081894,,,
-1.246131034,0.004944345,3.30485287,,,
-3.599551886,0.018235755,3.30485287,,,
-2.388048786,0.02570098,4.566580178,,,
-4.153076015,8.73E-31,6.395642566,,,
-5.63659917,0.015575523,2.101412922,,,
-2.54974433,0.083403096,3.770178932,,,
-3.412125752,2.14E-31,2.907743307,,,
-4.437088397,0.060021523,2.446191813,,,
-3.928081971,0.017358517,0,,,
-3.1033033,0.079907041,2.347253879,,,
-3.203085843,0.006476931,2.393764108,,,
-2.004487822,0.041308681,2.514695107,,,
-4.437088397,0.012854046,2.602807356,,,
-5.129395565,0.018377859,4.138290285,,,
-3.151223199,0.001233641,1.442291359,,,
-4.153076015,0.081209541,2.883599324,,,
-5.438319155,0.011499839,2.725240136,,,
-2.464589375,0.030229246,1.412779211,,,
-4.011005754,1.44246466,0.955366945,,,
-2.235723322,0.033056621,2.321704266,,,
-2.060956241,0.0255592,3.144132243,,,
-2.571206949,0.051401115,3.858177108,,,
-1.786430129,0.020115028,0.565620606,,,
-1.786430129,0.059177236,5.362842622,,,
-4.321196345,0.031544662,2.850012641,,,
-2.770107261,0.083403096,4.755111357,,,
-3.191937189,9.75E-31,0,,,
-1.419626143,0.004190566,0,,,
-1.9736922,0.087193447,1.996115975,,,
-3.361288628,0.083403096,2.656674734,,,
-5.267584736,3.25E-30,2.446191813,,,
-4.391958774,0.201507767,2.663887992,,,
